shop_id	uid	order_id	date	amt1	amt2	amt3	pay_type
23	32394711	3215313435	2017-10-19 17:10:01	94.71	29.92	64.79	4
23	31739103	3125446423	2017-10-18 20:34:20	312.21	54.72	257.49	3
23	31995883	4583195141	2017-10-03 11:42:46	108.40	17.20	91.20	1
23	439272003	3254643211	2017-10-15 16:15:57	172.46	28.17	144.29	1
23		64234097121	2017-10-02 09:21:51	201.12	50.69	150.43	3
23	347391033	3539107431	2017-10-21 11:17:48	198.62	18.09	180.54	4
23	5438281034	66234198334	2017-10-15 09:31:48	175.02	33.31	141.71	1
23	319837432	31509719012	2017-10-16 12:11:11	209.45	20.01	189.43	1
23		31597103141	2017-10-05 11:09:48	44.30	8.09	36.20	3
23	321343214	45471075654	2017-10-14 17:38:18	87.92	32.90	55.02	3
23	319851903	31928378512	2017-10-02 20:15:04	363.96	9.29	354.67	2
23	4348710312	54183591343	2017-10-21 09:43:35	180.50	44.34	136.16	3
